timestep,time
0,0.100000001
1,0.8125
2,1.289100051
3,1.604400039
4,2.133699894
5,2.714400053
6,3.128000021
7,3.586999893
8,4.085299969
9,4.587999821
10,5.008900166
11,5.536300182
12,6.013999939
13,6.51240015
14,7.022099972
15,7.552100182
16,8.009799957
17,8.507699966
18,9.030500412
19,9.50549984
20,10.02099991
21,10.52900028
22,11.0170002
23,11.5
24,12.01900005
25,12.51099968
26,13.00899982
27,13.50800037
28,14.02999973
29,14.54699993
30,15.00800037
31,15.51200008
32,16.00300026
33,16.53899956
34,17.04500008
35,17.50099945
36,18
37,18.51000023
38,19.02499962
39,19.51000023
40,20.03899956
41,20.51300049
42,21.01199913
43,21.51399994
44,22.04100037
45,22.53700066
46,23.0170002
47,23.53199959
48,24.02199936
49,24.5189991
50,25.03300095
51,25.50799942
52,26.03100014
53,26.51600075
54,27.01499939
55,27.51099968
56,28.00300026
57,28.52599907
58,29.02700043
59,29.51600075
60,30.02000046
61,30.51099968
62,31.02799988
63,31.51399994
64,32.01599884
65,32.51800156
66,33.00500107
67,33.51300049
68,34.02000046
69,34.51599884
70,35.01399994
71,35.50600052
72,36.00799942
73,36.50999832
74,37.01499939
75,37.50899887
76,38.02399826
77,38.52700043
78,39.02199936
79,39.5320015
80,40.02500153
81,40.52199936
82,41.01100159
83,41.51599884
84,42.01399994
85,42.52999878
86,43.00999832
87,43.5
88,44.01599884
89,44.51100159
90,45.00899887
91,45.50699997
92,46.02000046
93,46.52500153
94,47.0019989
95,47.5019989
96,48.01100159
97,48.51599884
98,49.00999832
99,49.50600052
100,50.01900101
101,50.50500107
102,51.01499939
103,51.51100159
104,52.0019989
105,52.52399826
106,53.00699997
107,53.51100159
108,54.00899887
109,54.50299835
110,55.0019989
111,55.50699997
112,56.00299835
113,56.50299835
114,57.00600052
115,57.51100159
116,58.00299835
117,58.50299835
118,59.00299835
119,59.50099945
120,60.01699829
