"timestep","time"
0,0.100000001
1,0.8125
2,1.318799973
3,1.603800058
4,2.137399912
5,2.772500038
6,3.027100086
7,3.711199999
8,4.104400158
9,4.603300095
10,5.09070015
11,5.585700035
12,6.004099846
13,6.513999939
14,7.022200108
15,7.53760004
16,8.02670002
17,8.504699707
18,9.045000076
19,9.523900032
20,10.00800037
21,10.51200008
22,11.02799988
23,11.53800011
24,12.04399967
25,12.50399971
26,13.01099968
27,13.51500034
28,14.00399971
29,14.52999973
30,15.02600002
31,15.51099968
32,16.02700043
33,16.51600075
34,17.03499985
35,17.53499985
36,18.0189991
37,18.51000023
38,19.02199936
39,19.50699997
40,20.02099991
41,20.53499985
42,21.02599907
43,21.50799942
44,22.0170002
45,22.52899933
46,23.00499916
47,23.50699997
48,24.01000023
49,24.53199959
50,25.00099945
51,25.52400017
52,26.03100014
53,26.51499939
54,27.02000046
55,27.51300049
56,28.02899933
57,28.52400017
58,29.02300072
59,29.51099968
60,30.02599907
61,30.50300026
62,31.0189991
63,31.50099945
64,32.03499985
65,32.50600052
66,33.00099945
67,33.50999832
68,34.01699829
69,34.51499939
70,35.00400162
71,35.52700043
72,36.00500107
73,36.51699829
74,37.02500153
75,37.52799988
76,38.00799942
77,38.51100159
78,39.00999832
79,39.52799988
80,40.02099991
81,40.50999832
82,41.02199936
83,41.52000046
84,42
85,42.51599884
86,43.01399994
87,43.50600052
88,44.00899887
89,44.5
90,45.02199936
91,45.51800156
92,46.01100159
93,46.51800156
94,47.02700043
95,47.51499939
96,48.02600098
97,48.51399994
98,49.00500107
99,49.50500107
100,50.00799942
101,50.53099823
102,51.00600052
103,51.51699829
104,52.01100159
105,52.51900101
106,53.01800156
107,53.51399994
108,54.01499939
109,54.52299881
110,55.02500153
111,55.50099945
112,56.02399826
113,56.51499939
114,57.02099991
115,57.5320015
116,58.02099991
117,58.52099991
118,59.00400162
119,59.50500107
120,60.0019989
