timestep,time
0,0.100000001
1,0.8125
2,1.178599954
3,1.8398
4,2.102200031
5,2.706099987
6,3.042999983
7,3.556400061
8,4.154399872
9,4.636499882
10,5.032999992
11,5.543300152
12,6.035900116
13,6.521900177
14,7.020599842
15,7.538300037
16,8.022000313
17,8.522299767
18,9.046899796
19,9.513600349
20,10.02600002
21,10.50399971
22,11.03199959
23,11.50699997
24,12.02400017
25,12.5369997
26,13.01000023
27,13.50899982
28,14.02400017
29,14.51000023
30,15.02600002
31,15.52700043
32,16.01600075
33,16.50399971
34,17.0340004
35,17.51600075
36,18.00300026
37,18.54299927
38,19.02599907
39,19.54000092
40,20.00699997
41,20.50200081
42,21.0340004
43,21.52300072
44,22.02199936
45,22.50900078
46,23.02700043
47,23.52300072
48,24.03199959
49,24.51499939
50,25.03000069
51,25.52400017
52,26.0189991
53,26.51600075
54,27.02099991
55,27.50200081
56,28.01600075
57,28.51199913
58,29.01199913
59,29.52099991
60,30.0340004
61,30.50200081
62,31.02499962
63,31.51199913
64,32.01800156
65,32.50099945
66,33.02600098
67,33.52999878
68,34.01800156
69,34.50600052
70,35.00500107
71,35.50299835
72,36.01900101
73,36.51200104
74,37
75,37.50999832
76,38.01100159
77,38.51300049
78,39.01699829
79,39.52000046
80,40.00999832
81,40.52299881
82,41.0019989
83,41.51399994
84,42.00799942
85,42.52299881
86,43.00799942
87,43.50500107
88,44.01800156
89,44.52199936
90,45.00400162
91,45.51800156
92,46.0019989
93,46.50099945
94,47.00899887
95,47.50699997
96,48.00600052
97,48.50999832
98,49.01100159
99,49.51599884
100,50.02500153
101,50.51800156
102,51.00999832
103,51.50600052
104,52.00799942
105,52.5
106,53.00699997
